Baseline 100%T,,Baseline 0%T,,10nm G4167,,10nm G4475A,,25nm G4475B,,40nm G4475D,,50nm G4475D,,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,
800,0.9153784513,800,0.0003984725918,800,102.1557007,800,96.46086884,800,101.1053085,800,104.6627426,800,93.11569214,
799,0.9311510921,799,0.0005324226222,799,102.281395,799,96.46635437,799,101.115509,799,104.5879822,799,93.19900513,
798,0.9465553761,798,-0.0002712775895,798,102.1716156,798,96.47733307,798,101.2484894,798,104.6084747,798,92.92990112,
797,0.9622275829,797,-0.0004052295408,797,102.3725052,797,96.61170197,797,101.1897354,797,104.9537277,797,93.22340393,
796,0.9805117846,796,-0.0002712795394,796,102.1339798,796,96.3295517,796,100.9287033,796,104.7528,796,93.11322021,
795,0.9962174296,795,-0.0008740546764,795,102.2602921,795,96.47692108,795,101.1654129,795,104.5743103,795,93.12846375,
794,1.014702559,794,0.0001305725309,794,102.2180405,794,96.43528748,794,101.0463028,794,104.7067261,794,92.91018677,
793,1.033422112,793,0.0009677612106,793,102.0758362,793,96.34783936,793,100.9989853,793,104.6446838,793,92.96163177,
792,1.05130446,792,3.010902401E-5,792,102.1724548,792,96.44824982,792,100.9365082,792,104.6953049,792,92.9442749,
791,1.068550587,791,0.001068222686,791,102.4374847,791,96.52100372,791,101.2077713,791,104.7840118,791,93.17061615,
790,1.089480281,790,-0.0001708160271,790,102.1973572,790,96.36436462,790,101.047966,790,104.5238037,790,92.8854599,
789,1.108534575,789,-0.000472202606,789,102.1378784,789,96.48820496,789,101.0115662,789,104.5867691,789,92.87677002,
788,1.128258705,788,-0.0004052295408,788,102.1540527,788,96.4069519,788,100.9672546,788,104.5276489,788,93.00973511,
787,1.149288893,787,-0.0006061546155,787,102.067688,787,96.38010406,787,100.9814148,787,104.5023117,787,92.86212921,
786,1.168979526,786,0.001168684335,786,102.216629,786,96.54174805,786,101.1040115,786,104.6167603,786,93.06915283,
785,1.189942956,785,-0.0002712775895,785,102.3071136,785,96.4970932,785,101.1507416,785,104.7099152,785,93.10955048,
784,1.212078094,784,0.000766836165,784,102.1425476,784,96.35629272,784,101.1030655,784,104.7218781,784,93.06369781,
783,1.234380722,783,-0.0002043025452,783,102.1862488,783,96.35175323,783,101.0985489,783,104.6084671,783,92.95034027,
782,1.256281734,782,0.0003649841237,782,102.3250809,782,96.52037048,782,101.0425415,782,104.6821594,782,92.96874237,
781,1.279186964,781,0.0006328841555,781,102.1660538,781,96.53222656,781,101.0686264,781,104.6307068,781,93.01991272,
780,1.303097248,780,0.0004989361041,780,102.0977936,780,96.38027191,780,100.9769211,780,104.6660538,780,92.92765045,
779,1.32864821,779,-7.035252202E-5,779,102.1019211,779,96.23972321,779,100.9501495,779,104.4331894,779,92.94067383,
778,1.352926731,778,-0.000438716088,778,102.1081772,778,96.23891449,778,100.9575806,778,104.3920364,778,92.80941772,
777,1.376970649,777,0.0006998611498,777,102.170433,777,96.24556732,777,101.0365448,777,104.452774,777,92.96072388,
776,1.402789593,776,0.0006663726526,776,102.0563736,776,96.27178955,776,100.9911652,776,104.4494858,776,92.8612442,
775,1.428273559,775,0.0003649841237,775,102.0614471,775,96.28517914,775,100.9123001,775,104.5872421,775,92.9080658,
774,1.453657269,774,3.010902401E-5,774,102.0825653,774,96.40158081,774,101.1702881,774,104.68116,774,92.94369507,
773,1.481183887,773,0.0008672976983,773,102.1649246,773,96.2379837,773,100.9795303,773,104.5289001,773,92.89221191,
772,1.509648323,772,-0.000438716088,772,101.9980469,772,96.12586975,772,100.9757385,772,104.4174423,772,92.70412445,
771,1.536404848,771,-0.0009410296916,771,102.0628204,771,96.1749649,771,100.9715118,771,104.5046539,771,92.8596344,
770,1.563764215,770,0.0008003226831,770,102.1575699,770,96.23765564,770,100.9448624,770,104.6043777,770,93.0045166,
769,1.593333721,769,0.0009677592898,769,102.077774,769,96.24193573,769,100.980011,769,104.4100037,769,92.86450195,
768,1.622702122,768,-0.000137329509,768,102.0924225,768,96.21551514,768,100.9285889,768,104.4778366,768,92.79627228,
767,1.651635528,767,-0.001041493262,767,102.0769119,767,96.2088623,767,100.8773651,767,104.4699326,767,92.84932709,
766,1.681238413,766,3.010902401E-5,766,101.9918823,766,96.26125336,766,100.9441605,766,104.5056229,766,92.76551819,
765,1.709267735,765,-0.001275904709,765,102.1123657,765,96.2627182,765,100.9710083,765,104.4988174,765,92.74666595,
764,1.739372849,764,-0.0004052295408,764,102.0306854,764,96.0791626,764,100.8526917,764,104.4540253,764,92.72997284,
763,1.768908858,763,-0.0004052275908,763,102.0384216,763,96.13513184,763,100.9293213,763,104.4572678,763,92.72262573,
762,1.80611372,762,-0.001175441314,762,101.9677887,762,96.15148163,762,100.8319473,762,104.3636093,762,92.76065063,
761,1.832066536,761,0.0001975475461,761,102.0967712,761,96.11355591,761,100.9359589,761,104.3672104,761,92.81391144,
